Performance %,country,cost,income
3550.0,Espagne,0.06,2.19
888.0000000000001,Chili,0.25,2.47
71.87500000000003,Équateur,0.32,0.55
61.111111111111086,Maroc,0.18,0.29
45.45454545454547,Turquie,0.11,0.16
34.13654618473896,Burkina Faso,7.47,10.02
33.33333333333334,Tunisie,0.09,0.12
18.837803320561946,Côte d'Ivoire,15.66,18.61
11.695906432748544,Mali,6.84,7.64
-8.776595744680847,Sénégal,3.76,3.43
-13.13559322033899,Gabon,2.36,2.05
-36.8421052631579,Costa Rica,0.19,0.12
-44.668587896253605,Pakistan,6.94,3.84
-46.95652173913043,Argentine,1.15,0.61
-48.387096774193544,Algérie,0.31,0.16
-76.19047619047619,Bolivie,0.21,0.05
